DATETIMESTAMP,DATE_SQL,DATETIME_SAP,DATE_SAP,YEAR,QUARTER,MONTH,WEEK,WEEK_YEAR,DAY_OF_WEEK,DAY,HOUR,MINUTE,SECOND,CALQUARTER,CALMONTH,CALWEEK,YEAR_INT,QUARTER_INT,MONTH_INT,WEEK_INT,WEEK_YEAR_INT,DAY_OF_WEEK_INT,DAY_INT,HOUR_INT,MINUTE_INT,SECOND_INT,MONTH_LAST_DAY,TZNTSTMPS,TZNTSTMPL
0001-01-01 00:00:00.000000000,0001-01-01,00010101000000,00010101,0001,01,01,01,0001,05,01,00,00,00,00011,000101,000101,1,1,1,1,1,5,1,0,0,0,0,10101000000,10101000000.0000000
9999-12-31 00:00:00.000000000,9999-12-31,99991231000000,99991231,9999,04,12,52,9999,04,31,00,00,00,99994,999912,999952,9999,4,12,52,9999,4,31,0,0,0,1,99991231000000,99991231000000.0000000
1900-01-01 00:00:00.000000000,1900-01-01,19000101000000,19000101,1900,01,01,01,1900,00,01,00,00,00,19001,190001,190001,1900,1,1,1,1900,0,1,0,0,0,0,19000101000000,19000101000000.0000000
2018-01-01 00:00:00.000000000,2018-01-01,20180101000000,20180101,2018,01,01,01,2018,00,01,00,00,00,20181,201801,201801,2018,1,1,1,2018,0,1,0,0,0,0,20180101000000,20180101000000.0000000
2018-01-02 00:00:00.000000000,2018-01-02,20180102000000,20180102,2018,01,01,01,2018,01,02,00,00,00,20181,201801,201801,2018,1,1,1,2018,1,2,0,0,0,0,20180102000000,20180102000000.0000000
2018-01-03 00:00:00.000000000,2018-01-03,20180103000000,20180103,2018,01,01,01,2018,02,03,00,00,00,20181,201801,201801,2018,1,1,1,2018,2,3,0,0,0,0,20180103000000,20180103000000.0000000
2018-01-04 00:00:00.000000000,2018-01-04,20180104000000,20180104,2018,01,01,01,2018,03,04,00,00,00,20181,201801,201801,2018,1,1,1,2018,3,4,0,0,0,0,20180104000000,20180104000000.0000000
2018-01-05 00:00:00.000000000,2018-01-05,20180105000000,20180105,2018,01,01,01,2018,04,05,00,00,00,20181,201801,201801,2018,1,1,1,2018,4,5,0,0,0,0,20180105000000,20180105000000.0000000
2018-01-06 00:00:00.000000000,2018-01-06,20180106000000,20180106,2018,01,01,01,2018,05,06,00,00,00,20181,201801,201801,2018,1,1,1,2018,5,6,0,0,0,0,20180106000000,20180106000000.0000000
2018-01-07 00:00:00.000000000,2018-01-07,20180107000000,20180107,2018,01,01,02,2018,06,07,00,00,00,20181,201801,201802,2018,1,1,2,2018,6,7,0,0,0,0,20180107000000,20180107000000.0000000
2018-01-08 00:00:00.000000000,2018-01-08,20180108000000,20180108,2018,01,01,02,2018,00,08,00,00,00,20181,201801,201802,2018,1,1,2,2018,0,8,0,0,0,0,20180108000000,20180108000000.0000000
2018-01-09 00:00:00.000000000,2018-01-09,20180109000000,20180109,2018,01,01,02,2018,01,09,00,00,00,20181,201801,201802,2018,1,1,2,2018,1,9,0,0,0,0,20180109000000,20180109000000.0000000
2018-01-10 00:00:00.000000000,2018-01-10,20180110000000,20180110,2018,01,01,02,2018,02,10,00,00,00,20181,201801,201802,2018,1,1,2,2018,2,10,0,0,0,0,20180110000000,20180110000000.0000000
2018-01-11 00:00:00.000000000,2018-01-11,20180111000000,20180111,2018,01,01,02,2018,03,11,00,00,00,20181,201801,201802,2018,1,1,2,2018,3,11,0,0,0,0,20180111000000,20180111000000.0000000
2018-01-12 00:00:00.000000000,2018-01-12,20180112000000,20180112,2018,01,01,02,2018,04,12,00,00,00,20181,201801,201802,2018,1,1,2,2018,4,12,0,0,0,0,20180112000000,20180112000000.0000000
2018-01-13 00:00:00.000000000,2018-01-13,20180113000000,20180113,2018,01,01,02,2018,05,13,00,00,00,20181,201801,201802,2018,1,1,2,2018,5,13,0,0,0,0,20180113000000,20180113000000.0000000
2018-01-14 00:00:00.000000000,2018-01-14,20180114000000,20180114,2018,01,01,03,2018,06,14,00,00,00,20181,201801,201803,2018,1,1,3,2018,6,14,0,0,0,0,20180114000000,20180114000000.0000000
2018-01-15 00:00:00.000000000,2018-01-15,20180115000000,20180115,2018,01,01,03,2018,00,15,00,00,00,20181,201801,201803,2018,1,1,3,2018,0,15,0,0,0,0,20180115000000,20180115000000.0000000
2018-01-16 00:00:00.000000000,2018-01-16,20180116000000,20180116,2018,01,01,03,2018,01,16,00,00,00,20181,201801,201803,2018,1,1,3,2018,1,16,0,0,0,0,20180116000000,20180116000000.0000000
2018-01-17 00:00:00.000000000,2018-01-17,20180117000000,20180117,2018,01,01,03,2018,02,17,00,00,00,20181,201801,201803,2018,1,1,3,2018,2,17,0,0,0,0,20180117000000,20180117000000.0000000
2018-01-18 00:00:00.000000000,2018-01-18,20180118000000,20180118,2018,01,01,03,2018,03,18,00,00,00,20181,201801,201803,2018,1,1,3,2018,3,18,0,0,0,0,20180118000000,20180118000000.0000000
2018-01-19 00:00:00.000000000,2018-01-19,20180119000000,20180119,2018,01,01,03,2018,04,19,00,00,00,20181,201801,201803,2018,1,1,3,2018,4,19,0,0,0,0,20180119000000,20180119000000.0000000
2018-01-20 00:00:00.000000000,2018-01-20,20180120000000,20180120,2018,01,01,03,2018,05,20,00,00,00,20181,201801,201803,2018,1,1,3,2018,5,20,0,0,0,0,20180120000000,20180120000000.0000000
